Search number,Query,Sort By,Filters,Search Details,Results,Time,Date
14,(#1 OR #2 OR #3) AND (#4 OR #5) AND (#6 OR #7),,,"(""autism""[Title/Abstract] OR ""Autistic Disorder""[MeSH Terms] OR ""Autism Spectrum Disorder""[MeSH Terms]) AND (""child""[Title/Abstract] OR ""adolescen*""[Title/Abstract]) AND (""Executive Function""[MeSH Terms] OR ""Executive Function""[Title/Abstract])",302,07:53:39,2025/08/30
13,(#1 OR #2 OR #3) AND (#4 OR #5) AND (#6 OR #7) AND (#8 OR #9),,,"(""autism""[Title/Abstract] OR ""Autistic Disorder""[MeSH Terms] OR ""Autism Spectrum Disorder""[MeSH Terms]) AND (""child""[Title/Abstract] OR ""adolescen*""[Title/Abstract]) AND (""Executive Function""[MeSH Terms] OR ""Executive Function""[Title/Abstract]) AND (""Floortime""[Title/Abstract] OR ""DIR""[Title/Abstract])",0,07:52:42,2025/08/30
12,(#1 OR #2 OR #3) AND (#4 OR #5) AND (#6 OR #7) AND (#8 OR #9 OR #10 OR #11),,,"(""autism""[Title/Abstract] OR ""Autistic Disorder""[MeSH Terms] OR ""Autism Spectrum Disorder""[MeSH Terms]) AND (""child""[Title/Abstract] OR ""adolescen*""[Title/Abstract]) AND (""Executive Function""[MeSH Terms] OR ""Executive Function""[Title/Abstract]) AND (""Floortime""[Title/Abstract] OR ""DIR""[Title/Abstract])",0,07:52:29,2025/08/30
11,"""Developmental, Individual-differences, Relationship-based""[Title/Abstract]",,,"""Developmental, Individual-differences, Relationship-based""[Title/Abstract]",0,07:50:14,2025/08/30
10,"""Developmental, Individual-differences, Relationship-based""[Title/Abstract] - Schema: all",,,"""Developmental, Individual-differences, Relationship-based""[Title/Abstract]",0,07:50:14,2025/08/30
9,"""DIR""[Title/Abstract]",,,"""DIR""[Title/Abstract]","2,246",07:49:55,2025/08/30
8,"""Floortime""[Title/Abstract]",,,"""Floortime""[Title/Abstract]",17,07:49:31,2025/08/30
7,"""executive function""[Title/Abstract]",,,"""executive function""[Title/Abstract]","25,394",07:48:36,2025/08/30
6,"""Executive Function""[Mesh]",,,"""Executive Function""[MeSH Terms]","22,663",07:48:16,2025/08/30
5,adolescen*[Title/Abstract],,,"""adolescen*""[Title/Abstract]","428,618",07:46:20,2025/08/30
4,child[Title/Abstract],,,"""child""[Title/Abstract]","538,847",07:45:07,2025/08/30
3,"""Autism Spectrum Disorder""[Mesh]",,,"""Autism Spectrum Disorder""[MeSH Terms]","49,450",07:30:43,2025/08/30
2,"""Autistic Disorder""[Mesh]",,,"""Autistic Disorder""[MeSH Terms]","28,670",07:30:27,2025/08/30
1,autism[Title/Abstract],,,"""autism""[Title/Abstract]","74,859",07:29:22,2025/08/30
